,Datetime,Open,High,Low,Close,Adj Close,Volume,Vol_Direction,Dir_to_Vol,Vol_Tide
0,2021-11-17 09:30:00-05:00,469.0,469.0400085449219,468.4500122070313,468.5199890136719,468.5199890136719,2523699,,,
1,2021-11-17 09:35:00-05:00,468.5299987792969,468.5400085449219,468.1600036621094,468.3200073242188,468.3200073242188,836314,-1.0,-836314.0,-836314.0
2,2021-11-17 09:40:00-05:00,468.3200073242188,468.5249938964844,468.1600036621094,468.4500122070313,468.4500122070313,577620,1.0,577620.0,-258694.0
3,2021-11-17 09:45:00-05:00,468.4500122070313,468.6400146484375,468.1300048828125,468.135009765625,468.135009765625,865588,-1.0,-865588.0,-1124282.0
4,2021-11-17 09:50:00-05:00,468.135009765625,468.135009765625,467.5799865722656,467.6700134277344,467.6700134277344,951646,-1.0,-951646.0,-2075928.0
5,2021-11-17 09:55:00-05:00,467.6499938964844,467.7799987792969,467.4800109863281,467.5799865722656,467.5799865722656,690508,-1.0,-690508.0,-2766436.0
6,2021-11-17 10:00:00-05:00,467.5799865722656,468.1400146484375,467.489990234375,468.1000061035156,468.1000061035156,919150,1.0,919150.0,-1847286.0
7,2021-11-17 10:05:00-05:00,468.1050109863281,468.1600036621094,467.8599853515625,468.0,468.0,582307,-1.0,-582307.0,-2429593.0
8,2021-11-17 10:10:00-05:00,468.0199890136719,468.2900085449219,467.989990234375,468.2699890136719,468.2699890136719,456914,1.0,456914.0,-1972679.0
9,2021-11-17 10:15:00-05:00,468.2699890136719,468.2912902832031,467.9198913574219,467.9399108886719,467.9399108886719,717028,-1.0,-717028.0,-2689707.0
10,2021-11-17 10:20:00-05:00,467.9400024414063,468.0,467.7799987792969,467.9599914550781,467.9599914550781,502002,1.0,502002.0,-2187705.0
11,2021-11-17 10:25:00-05:00,467.9599914550781,468.2200012207031,467.9500122070313,468.0,468.0,485688,1.0,485688.0,-1702017.0
12,2021-11-17 10:30:00-05:00,468.010009765625,468.3599853515625,467.9400024414063,468.30999755859375,468.30999755859375,1350511,1.0,1350511.0,-351506.0
13,2021-11-17 10:35:00-05:00,468.3200073242188,468.7999877929688,468.2900085449219,468.7300109863281,468.7300109863281,706951,1.0,706951.0,355445.0
14,2021-11-17 10:40:00-05:00,468.7300109863281,468.8200073242188,468.4800109863281,468.5899963378906,468.5899963378906,710871,-1.0,-710871.0,-355426.0
15,2021-11-17 10:45:00-05:00,468.6099853515625,468.7825012207031,468.4200134277344,468.43499755859375,468.43499755859375,402064,-1.0,-402064.0,-757490.0
16,2021-11-17 10:50:00-05:00,468.43499755859375,468.5450134277344,468.1000061035156,468.29010009765625,468.29010009765625,366616,-1.0,-366616.0,-1124106.0
17,2021-11-17 10:55:00-05:00,468.30999755859375,468.5190124511719,468.2799987792969,468.489990234375,468.489990234375,495353,1.0,495353.0,-628753.0
18,2021-11-17 11:00:00-05:00,468.489990234375,468.5700073242188,468.3500061035156,468.4200134277344,468.4200134277344,255646,-1.0,-255646.0,-884399.0
19,2021-11-17 11:05:00-05:00,468.4400024414063,468.6600036621094,468.4400024414063,468.5549926757813,468.5549926757813,213024,1.0,213024.0,-671375.0
20,2021-11-17 11:10:00-05:00,468.55999755859375,468.614990234375,468.4599914550781,468.5199890136719,468.5199890136719,189213,-1.0,-189213.0,-860588.0
21,2021-11-17 11:15:00-05:00,468.5199890136719,468.5700073242188,468.4012145996094,468.4849853515625,468.4849853515625,194498,-1.0,-194498.0,-1055086.0
22,2021-11-17 11:20:00-05:00,468.4700012207031,468.6400146484375,468.1700134277344,468.2099914550781,468.2099914550781,349027,-1.0,-349027.0,-1404113.0
23,2021-11-17 11:25:00-05:00,468.2149963378906,468.4500122070313,468.1700134277344,468.4049987792969,468.4049987792969,544897,1.0,544897.0,-859216.0
24,2021-11-17 11:30:00-05:00,468.3999938964844,468.4599914550781,468.2999877929688,468.4100036621094,468.4100036621094,275544,1.0,275544.0,-583672.0
25,2021-11-17 11:35:00-05:00,468.3999938964844,468.5400085449219,468.3200073242188,468.539306640625,468.539306640625,375850,1.0,375850.0,-207822.0
26,2021-11-17 11:40:00-05:00,468.5223083496094,468.75,468.510009765625,468.5899963378906,468.5899963378906,325519,1.0,325519.0,117697.0
27,2021-11-17 11:45:00-05:00,468.6000061035156,468.7999877929688,468.5299987792969,468.7799987792969,468.7799987792969,1039502,1.0,1039502.0,1157199.0
28,2021-11-17 11:50:00-05:00,468.7900085449219,468.8500061035156,468.6400146484375,468.8399963378906,468.8399963378906,175134,1.0,175134.0,1332333.0
29,2021-11-17 11:55:00-05:00,468.8500061035156,469.1650085449219,468.8200073242188,469.0849914550781,469.0849914550781,426225,1.0,426225.0,1758558.0
30,2021-11-17 12:00:00-05:00,469.0799865722656,469.1900024414063,468.8699951171875,468.9500122070313,468.9500122070313,477847,-1.0,-477847.0,1280711.0
31,2021-11-17 12:05:00-05:00,468.9500122070313,468.9599914550781,468.4100036621094,468.510009765625,468.510009765625,509605,-1.0,-509605.0,771106.0
32,2021-11-17 12:10:00-05:00,468.5199890136719,468.6300048828125,468.4100036621094,468.4200134277344,468.4200134277344,176256,-1.0,-176256.0,594850.0
